timestamp,gx,gy,gz,ax,ay,az,vx_gt,vy_gt,vz_gt
6.460000,0.929021,1.221177,-0.400705,-0.509857,-0.045098,-11.747510,0.286476,-0.091661,0.057563
6.480000,0.159301,1.109798,-0.314132,-2.188736,1.768282,-10.265578,0.275600,-0.090733,0.018803
6.500000,-1.247734,-0.124450,-0.153077,-1.042105,1.180358,-8.931771,0.227017,-0.051854,0.009601
6.520000,-0.162521,-0.456119,-0.099266,-1.011739,-0.050861,-10.633904,0.198817,-0.025626,0.027010
6.540000,-0.319334,-0.808930,-0.242590,-1.070041,0.580086,-11.449933,0.172780,-0.027295,0.010445
6.560000,0.522597,-0.963651,-0.165240,-1.726761,-0.779972,-6.053951,0.147847,-0.016699,-0.022388
6.580000,-1.795376,0.441317,0.309730,1.564890,0.139607,-12.264676,0.113507,-0.032899,0.052732
6.600000,-1.340899,1.049705,0.064186,-0.210806,0.443803,-8.511197,0.147139,-0.029108,0.003622
6.620000,0.087006,-0.461079,-0.303771,0.368646,1.424276,-12.619126,0.142214,-0.024029,0.029560
6.640000,0.220929,-0.660290,0.058074,-0.896105,1.291247,-10.696585,0.148364,-0.000959,-0.026701
6.660000,-0.528996,-0.193913,-0.160727,1.511505,0.863152,-8.614368,0.130726,0.019731,-0.044500
6.680000,1.725302,1.047519,-0.601235,1.445925,-0.750685,-7.175767,0.163305,0.031513,-0.020678
6.700000,-0.690702,-0.198675,-0.122223,-1.693140,0.663641,-11.371620,0.192456,0.012136,0.031958
6.720000,-0.346196,-0.505249,-0.066709,-0.081411,-0.738492,-9.587894,0.155774,0.023386,0.000695
6.740000,0.777868,-0.448141,0.177857,-0.619667,-0.934118,-8.323620,0.152172,0.004360,0.005081
6.760000,-1.205402,1.107116,0.072939,0.603662,-0.085413,-9.398340,0.139864,-0.017790,0.034778
6.780000,0.337329,0.114711,-0.178570,-0.098556,0.391500,-12.254433,0.152074,-0.019708,0.043011
6.800000,0.325674,-0.570931,0.070928,-0.776259,0.527356,-11.123430,0.146307,-0.015234,-0.005943
6.820000,-0.232882,-0.484816,-0.224441,-0.088280,1.607482,-9.624936,0.127675,-0.007252,-0.032253
6.840000,-0.630629,-0.166047,-0.292012,1.510088,0.202637,-10.154930,0.124959,0.022545,-0.028568
6.860000,0.949267,0.808393,-0.396385,-0.076063,-0.219064,-7.889310,0.155520,0.023104,-0.035498
6.880000,-0.526122,-0.634323,-0.009625,-0.275338,-0.938679,-10.407210,0.152044,0.018047,0.002905
6.900000,0.592309,-0.580995,0.057923,-1.000421,-1.459804,-9.737292,0.145156,-0.002264,-0.009050
6.920000,0.704310,0.004052,-0.115039,1.414444,-0.262746,-9.452436,0.126406,-0.033261,-0.007608
6.940000,-1.015373,1.151155,0.034909,0.037074,0.549538,-8.752114,0.157198,-0.038109,-0.000473
