timestamp,gx,gy,gz,ax,ay,az,vx_gt,vy_gt,vz_gt
4.740000,-0.045226,0.072552,-0.103369,0.372824,2.761561,-10.944237,0.119840,0.018609,-0.029180
4.760000,-0.936599,0.625287,0.022520,1.734388,0.126286,-7.232726,0.120857,0.072488,-0.051975
4.780000,-0.770478,-0.855058,0.074951,-3.816591,-2.189215,-10.056175,0.147850,0.072170,-0.000601
4.800000,-0.624375,-0.178924,0.227198,3.565061,2.091821,-9.351114,0.064423,0.022340,-0.005746
4.820000,0.294731,0.535730,0.070397,4.244881,-2.010321,-6.462345,0.130479,0.056216,0.003200
4.840000,-0.090197,-0.212592,0.056462,0.290187,0.335278,-11.401957,0.209533,0.009317,0.069952
4.860000,0.190876,-0.296166,0.051564,0.621358,-0.135302,-12.849407,0.207537,0.009773,0.037858
4.880000,0.179221,-0.036130,0.029041,-1.096520,-0.245863,-13.306143,0.213952,0.000786,-0.023123
4.900000,2.534713,-1.458483,-0.445792,-0.628178,0.298019,-4.035891,0.186827,-0.009308,-0.093183
4.920000,0.208678,-0.811267,-0.559428,-0.991488,-0.177043,-11.333373,0.170517,-0.004929,0.022257
4.940000,-0.071249,-0.378420,0.036534,-1.368229,-1.999659,-9.609354,0.152238,-0.006748,-0.008224
4.960000,0.374214,0.707973,0.560913,-1.083816,0.413819,-7.365031,0.129005,-0.045976,-0.004256
4.980000,1.423501,-0.007870,0.170551,-0.325144,-0.785180,-10.839912,0.109171,-0.034654,0.044611
5.000000,0.201656,-0.842549,0.472466,2.309975,-2.718967,-10.867386,0.101518,-0.046372,0.023969
5.020000,1.143590,-0.926923,0.157722,-4.814607,1.799357,-10.491151,0.149458,-0.096804,0.002774
5.040000,0.275573,0.329809,0.395606,3.342303,2.611366,-7.680434,0.059076,-0.053437,-0.011077
5.060000,0.270683,-0.507263,0.363404,2.123371,1.109063,-11.176247,0.132276,0.009143,0.031138
5.080000,-0.495057,-0.709008,0.293179,-0.746350,1.198180,-12.459373,0.179815,0.043616,0.003362
5.100000,-0.905401,0.671720,-0.082611,2.052918,-0.989493,-8.554933,0.173097,0.079599,-0.050166
5.120000,-0.250227,1.567125,-0.702460,0.049736,-0.727482,-5.645076,0.222177,0.067953,-0.025398
5.140000,-1.037932,-0.074540,0.180377,-0.193111,-1.016279,-11.044405,0.225605,0.060134,0.057770
5.160000,-0.666719,-0.131054,0.115166,1.165131,-2.386760,-13.442634,0.222083,0.042980,0.033056
5.180000,-0.416396,0.668163,0.358372,-3.131294,1.156996,-10.371281,0.246564,-0.004239,-0.039601
5.200000,1.020920,-0.521154,0.152471,-0.067535,-3.246273,-6.773018,0.184264,0.016811,-0.050838
5.220000,0.204763,-0.470838,0.236609,0.100232,-0.006914,-10.787300,0.179263,-0.052393,0.009821
5.240000,0.586995,0.895850,0.449814,-6.517713,4.348076,-7.692122,0.180113,-0.050914,-0.009735
5.260000,0.236827,-0.128186,0.139221,-0.003651,-0.776589,-9.529436,0.047504,0.038831,0.032590
5.280000,0.130204,-0.462987,0.305895,0.936926,0.425965,-9.796689,0.043000,0.025087,0.038143
5.300000,-0.433816,-0.445396,0.057688,-0.044450,0.587645,-11.819939,0.058461,0.036606,0.038359
5.320000,-0.662963,0.349563,-0.246370,-0.433552,-0.393642,-12.081213,0.055672,0.048488,-0.001849
5.340000,-0.476650,0.949057,0.388566,3.321617,1.377134,-8.189300,0.044180,0.038321,-0.047307
5.360000,-0.401202,-0.905147,-0.354310,-2.990938,-2.885389,-10.358443,0.104393,0.060354,-0.015069
5.380000,0.720405,0.573453,-0.182811,0.304857,1.793629,-6.666339,0.042108,-0.002619,-0.026124
5.400000,-0.235888,-0.409123,-0.566490,4.020105,-3.293286,-9.053043,0.045280,0.028854,0.036678
5.420000,0.181326,-0.012734,-0.516261,-1.263788,1.450052,-10.889504,0.121701,-0.040136,0.051752
5.440000,-0.709825,0.453784,-0.252725,-1.059256,2.616387,-12.189317,0.093009,-0.014902,0.030096
